ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
635,5.129,23120000,9.345,10520,0.9539,564200,8.857,11080000,7.865,1777000,0.1925,10.04,0.6078
1.65E+09,7.768,194200000,6.634,11760,0.8794,52540000,3.565,257400,8.428,115300,0.2674,9.668,0.7042
1069000,1.068,16290,8.704,58260,0.621,42610,0.6727,1.69E+09,8.719,830300000,0.1164,7.87,0.7
1.33E+09,0.3443,4447,7.693,58260,0.621,42610,0.6727,136600000,9.58,4201000,0.1542,12.01,0.4853
5.10E+09,4.822,1.16E+09,0.8487,151900,0.5305,15180,0.6719,1544000,8.396,26170,0.3068,10.39,0.7201
6699000,4.337,513,6.701,151900,0.5305,334600,0.4383,1065000,2.273,24260000,0.1655,10.5,0.724
805800,9.468,5429,0.6378,151900,0.5305,334600,0.4383,10970,6.406,2860000,0.1905,7.318,0.6119
19990,6.464,30630,0.526,228300,0.5982,334600,0.4383,13780000,2.667,40980000,0.1523,12,0.6581
9.61E+09,1.007,1357,1.077,228300,0.5982,334600,0.4383,446900000,3.204,249200000,0.1386,14.03,0.6244
6.85E+09,3.04,13970,0.6564,45650,0.7936,334600,0.4383,454100000,5.09,223500,0.2305,11.34,0.5811
9.98E+09,6.79,501.8,6.684,6.54E+09,4.667,21590,0.7697,3.21E+09,9.294,54070,0.2433,9.764,0.6577
18850000,9.116,2.86E+09,1.94,53400,6.881,326800,2.462,101400,7.687,1083000,0.2054,13.22,0.6895
78900,8.321,34190,3.278,11790000,3.111,1759,1.556,34480,4.541,88300,0.3191,10.75,0.7755
18530000,3.05,1.43E+09,4.168,212600000,9.148,660.1,3.036,207700,7.988,1957000,0.1798,9.969,0.6062
1265000,3.012,12970,6.686,434.2,8.626,42860000,7.508,96930000,9.442,214400,0.2294,10.73,0.6083
1.55E+09,1.003,3334,5.276,1.26E+09,0.6725,84920000,0.3067,7110,5.826,8046000,0.1621,9.703,0.5735
323.3,9.986,2068,0.7541,3.34E+09,0.2183,84920000,0.3067,127700000,7.016,33830,0.3232,9.423,0.7206
8262000,6.689,4.87E+09,6.059,3.34E+09,0.2183,797600000,0.2358,4.37E+09,3.298,20700,0.3237,11.8,0.7419
63360,3.017,135400,3.163,2.40E+09,0.2694,436600000,0.256,67320,6.327,21060,0.3023,15.55,0.5198
8395,8.863,401.3,5.207,2.20E+09,0.2838,436600000,0.256,63300,7.001,19500,0.3344,12.66,0.6116
843.7,2.782,42270,9.249,1.36E+09,0.2506,436600000,0.256,33790,4.962,1.29E+09,0.1267,12.7,0.6786
472.6,3.307,4583000,5.097,3.55E+08,0.2736,87210000,0.285,3.66E+09,1.328,45650,0.3224,12.47,0.6633
624.9,2.573,106900,5.228,3.55E+08,0.2736,40070000,0.3176,9.81E+08,2.436,20400,0.3782,9.782,0.7122
9320,7.925,9183000,2.632,1038000,0.4382,40070000,0.3176,24080,8.379,13420,0.4266,11.02,0.5941
3532000,6.719,4.81E+09,1.436,1038000,0.4382,40070000,0.3176,328200,7.242,5199,0.4478,8.5,0.5107
277.1,6.205,609.6,1.931,1038000,0.4382,309100,9.809,1.62E+09,6.557,24080,0.369,12.3,0.573
1927,4.942,38410,5.944,1038000,0.4382,6.29E+09,7.724,8484,9.346,78510000,0.1813,8.973,0.6678
2180,6.367,4233,1.712,1729,1.418,15250,5.52,1.30E+09,5.001,3320,0.478,10.39,0.587
1628000,6.348,3.97E+09,6.654,4760,1.078,357400000,7.944,8557000,8.556,40380,0.4164,12.49,0.532
33540000,0.4086,18700,4.175,822,2.168,2.29E+09,4.172,2270000,4.891,13600,0.3655,11.57,0.6955
224700000,0.4135,829300,7.416,1868,1.786,1.05E+09,0.6245,1031000,2.897,10410,0.3907,14.23,0.6499
18680000,3.201,249.6,5.046,7293000,0.7091,38590,0.773,74800000,3.031,14200,0.3843,11.26,0.5831
11410000,7.431,2.15E+09,3.473,57610,8.28,4477,0.8757,20820000,9.069,84230000,0.1392,10.15,0.627
223400000,5.228,2.43E+09,2.914,5896,7.794,931900,3.315,54060000,3.299,14400000,0.1564,10.63,0.5898
13720,2.56,44920,0.5327,203.8,8.194,502500,5.078,267700,7.228,157500,0.2491,12.08,0.5768
1.02E+09,8.069,44920,0.5327,24540000,9.976,8945,5.986,4918,8.033,107300,0.2609,12.65,0.5874
19730,7.81,50130,0.4577,12090,1.25,1286,1.995,64990,9.237,159400000,0.1457,11.39,0.612
528200000,9.388,3514,0.7589,24320,0.8289,6.36E+09,9.014,2071000,9.627,447200000,0.1445,12.23,0.5551
55140000,3.46,3514,0.7589,25480,0.6898,571400000,9.832,25160000,9.43,134900,0.3423,9.288,0.7623
218300000,9.449,407800000,9.825,25480,0.6898,1.34E+08,7.187,11350000,9.367,3705,0.4941,10.2,0.7518
1.20E+09,3.553,169700000,0.9675,25480,0.6898,9374,4.16,542000,5.17,5070000,0.1747,12.81,0.6209
38880,2.455,252200000,6.148,23300,0.7473,2670000,2.676,744500000,7.947,171600000,0.1347,10.51,0.6091
5021000,9.967,2820,1.433,14990000,7.391,90190,9.322,35620000,3.285,48190,0.2668,13.43,0.691
2028,8.139,102500,4.878,178800,9.608,2512,8.065,4403000,9.447,1073000,0.1923,13.37,0.5223
