ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
315000,0.4565,323.1,0.9023,47170,3.059,69990000,9.576,70250,2.929,18.9,0.7408,1.584,0.6231
315000,0.4565,323.1,0.9023,12.79,7.652,42870,9.101,41480,1.15,22.49,0.6781,1.604,0.522
315000,0.4565,28560000,5.314,10500,3.941,5009000,5.379,601.2,0.5911,16.36,0.8304,1.736,0.6518
142800,0.4767,1.56E+09,2.217,4205,0.7794,11.61,7.353,601.2,0.5911,16.18,0.7895,1.226,0.5874
3292,4.863,314600,8.304,16680000,4.671,12930,9.814,152500,0.5272,17.14,0.7779,1.599,0.7117
97070,3.346,8765,7.947,2.04E+09,9.699,8.913,8.177,145900,1.001,30.24,0.6428,1.458,0.6119
366500000,0.8456,11130,9.744,369200000,6.377,26500000,5.896,84490000,1.672,13.22,0.9234,1.512,0.6006
1.68E+09,2.693,32.43,8.263,920400,2.878,1583000,0.3377,1998000,0.274,26.05,0.6019,1.449,0.6217
136300000,1.876,1516,7.628,79490000,1.642,1583000,0.3377,1998000,0.274,24.44,0.6897,1.469,0.5519
6353000,8.094,7.45E+09,9.875,11860000,0.3272,1583000,0.3377,1998000,0.274,33.22,0.6476,1.584,0.5072
6184,9.498,4.29E+09,1.543,11860000,0.3272,31360000,0.2663,1998000,0.274,27.44,0.6084,1.733,0.5897
210.8,6.933,3918,7.493,202500,9.882,23.24,3.218,1998000,0.274,18.49,0.7963,1.576,0.5805
12.35,7.235,338.9,3.986,190800000,9.691,109500000,8.397,1998000,0.274,11.97,0.9694,1.258,0.6461
14.77,5.428,902.7,0.7939,17.71,8.598,17.35,9.78,153500000,0.2171,29.32,0.6263,1.577,0.6622
14.77,5.428,284.5,0.7897,476700000,6.323,139.3,8.666,153500000,0.2171,49.87,0.5041,1.392,0.6184
2810,0.986,91.59,1.412,17480000,5.603,135.8,8.079,153500000,0.2171,25.3,0.6718,1.586,0.5088
13670000,0.5522,794.8,0.6048,357000,4.104,91250000,7.007,153500000,0.2171,19.69,0.6762,1.158,0.6171
625.5,0.8859,2199,0.489,44040000,3.74,1163000,4.37,688900000,0.193,25.64,0.6745,1.552,0.7164
663.5,1.057,2.73E+09,9.352,21550000,4.546,12100000,2.116,688900000,0.193,31.13,0.6125,1.788,0.714
95.06,1.676,78140,0.3595,780500000,0.3774,7.15E+09,2.311,688900000,0.193,48.92,0.5318,1.43,0.5984
95.06,1.676,277900,8.236,2803,2.117,1.11E+09,5.843,13520000,0.196,17.09,0.7304,1.416,0.567
95.06,1.676,1392000,9.561,1231,7.79,525400,6.461,13520000,0.196,26.72,0.7076,1.639,0.6704
48.29,2.28,4190000,7.613,5294000,8.313,8.975,8.688,759.5,0.6536,30.63,0.6016,1.41,0.7456
48.29,2.28,1742,8.012,19.65,6.945,8.835,9.457,759.5,0.6536,13.14,0.9915,1.354,0.7223
2010,0.7861,37720000,2.49,1944000,2.411,8.835,9.457,759.5,0.6536,35.36,0.4751,1.419,0.576
543900000,1.127,246.1,4.385,342.7,3.562,8.835,9.457,185,6.31,17.94,0.8225,1.442,0.5544
1332000,8.191,74670,3.832,21320000,3.037,8.835,9.457,4595,0.4103,33.9,0.581,1.513,0.579
1.04E+09,3.366,31110,9.268,116700,9.895,9.329,8.991,4595,0.4103,22.16,0.7341,1.387,0.631
12.85,6.935,4756000,5.02,630.6,3.236,9.329,8.991,7539000,0.3621,18.1,0.8955,1.667,0.5669
64.96,8.603,188.2,1.243,268300000,1.473,9.329,8.991,770700000,0.206,16.43,0.8348,1.696,0.575
5242000,4.779,3109000,0.2644,18760,2.359,9.329,8.991,770700000,0.206,19.49,0.7736,1.261,0.6053
169600000,0.3249,10.71,7.774,8544000,8.014,9.329,8.991,770700000,0.206,16.93,0.7197,1.344,0.6698
169600000,0.3249,2.32E+09,0.3121,9209,7.717,9.329,8.991,4.55E+09,0.1467,23.38,0.7039,1.378,0.6067
169600000,0.3249,58410,1.661,231.2,7.426,9.329,8.991,1942000,0.3305,19.55,0.7585,1.616,0.6633
169600000,0.3249,2969,3.739,8.01E+09,7.21,9.203,8.659,3180,1.023,18.82,0.8275,1.55,0.5336
12290000,4.696,21.83,2.8,1.49E+09,3.862,9.952,8.451,548.9,7.832,12,0.9082,1.234,0.601
171500,6.888,816800,8.623,950600,6.823,9.318,8.604,49160,7.223,28.36,0.7258,1.162,0.5003
40540000,0.5887,32870000,0.4784,2828000,1.306,9.318,8.604,98.85,6.813,28.27,0.7146,1.499,0.6803
748700,0.9891,4.84E+09,9.165,187.6,5.898,9.318,8.604,45320,2.094,11.79,0.9087,1.262,0.7133
442800000,2.582,69.7,1.969,52.76,8.568,9.318,8.604,4643000,8.862,16.29,0.7953,1.543,0.6276
160.3,1.943,18560000,8.781,114400,0.5853,9.318,8.604,261500,1.21,19.79,0.8434,1.861,0.6201
493.8,1.117,97.27,1.751,6.99E+08,6.169,9.318,8.604,525500,4.576,20.86,0.8025,1.552,0.7382
103.8,1.421,6697,1.411,2467000,1.48,9.318,8.604,20.78,9.286,14.45,0.9385,1.336,0.6958
933000,5.702,58660,6.65,44710,0.6096,9.318,8.604,18880000,7.004,20.61,0.6773,1.441,0.6105
24790000,7.178,2932,0.9533,4127000,9.677,9.318,8.604,36.66,5.32,16.13,0.7502,1.345,0.605
302700,2.519,917800,0.2596,7.49E+09,9.34,9.318,8.604,939.6,7.063,28.65,0.6459,1.377,0.6119
